ID,Severity,Start_Lat,Start_Lng,StartTime,EndTime,Distance (mi),DelayFromTypicalTraffic (mins),DelayFromFreeFlowSpeed (mins),Congestion_Speed (mph),Description,Street,City,Country,State,Vehicle_Count,Pedestrian_Count,Emergency_Vehicle_Presence,Weather_Condition,Time_of_Day,Traffic_Flow_Rate,Signal_Timer_Setting,Accident_Reported
1,4,47.182395726482255,-80.94201958916042,2024-01-01 00:00:00.000000000,2024-01-01 00:25:00.000000000,4.594768971877655,30,29,40.33383062374573,Big edge large begin market medical southern.,Pena Summit,New Charlesville,USA,ID,25,2,0,Fog,Evening,24,115,0
2,4,44.365522133583326,-99.73402181907637,2024-01-01 00:52:33.915391539,2024-01-01 01:47:33.915391539,0.5996175963010915,39,14,18.29100346012703,Heavy my machine of ask.,Bush Branch,Alexanderchester,USA,IA,57,13,0,Clear,Morning,41,80,0
3,5,45.88644699929341,-69.36168306305946,2024-01-01 01:45:07.830783078,2024-01-01 02:01:07.830783078,1.5063499056105787,19,34,43.162660628911496,Tax parent international special this night.,Kimberly Plain,Michaelview,USA,VI,63,6,0,Rain,Afternoon,70,18,0
4,5,32.3378672687852,-110.13840972807861,2024-01-01 02:37:41.746174617,2024-01-01 03:30:41.746174617,1.0657250499293338,45,36,25.644624687460798,Mission group wife drug school have political him.,Hopkins Parkway,Clarkbury,USA,NC,81,13,0,Clear,Morning,74,72,0
5,3,36.10812719154819,-92.96403781233369,2024-01-01 03:30:15.661566156,2024-01-01 04:01:15.661566156,2.7682297178627975,2,23,10.1493428336186,Enough picture beautiful pressure against watch.,Virginia Landing,Johnmouth,USA,LA,17,8,0,Clear,Morning,95,27,0
6,5,27.033237106381254,-102.08528303040919,2024-01-01 04:22:49.576957695,2024-01-01 05:03:49.576957695,4.674453441312923,35,15,45.57236618606671,Interest where question.,Denise Shores,Stevenborough,USA,HI,26,7,0,Clear,Morning,43,99,1
7,3,34.193599637280585,-103.94815831861482,2024-01-01 05:15:23.492349234,2024-01-01 06:12:23.492349234,0.6289595001367221,29,18,14.089970680403205,Growth shoulder service no lay.,Jarvis Falls,New Deannahaven,USA,NV,54,9,0,Fog,Evening,108,60,0
8,4,32.374767582699725,-89.18118790557034,2024-01-01 06:07:57.407740774,2024-01-01 07:00:57.407740774,4.0577930851026585,36,30,9.205092089012643,Get if during prevent watch.,Smith Via,Joshuaville,USA,AL,73,16,0,Clear,Night,81,64,0
9,5,47.95464640102336,-98.30941911546176,2024-01-01 07:00:31.323132313,2024-01-01 07:08:31.323132313,2.602114054949541,3,31,46.374809715322954,Box family fact best.,Day Keys,Millermouth,USA,MI,27,4,0,Clear,Afternoon,67,105,0
10,5,45.90384890139175,-123.13688171898936,2024-01-01 07:53:05.238523852,2024-01-01 08:36:05.238523852,2.720265647000289,21,19,50.771784714804696,Increase agency my maintain production current doctor.,Justin Station,Cabreramouth,USA,DC,44,18,0,Clear,Evening,118,36,0
11,1,40.39552112221726,-88.73759449110958,2024-01-01 08:45:39.153915391,2024-01-01 08:50:39.153915391,1.7220371536353316,32,43,15.575416463866981,Law challenge politics claim truth age huge.,Brian Creek,New Toddbury,USA,VT,30,13,0,Clear,Morning,135,29,0
12,3,35.420882594354254,-93.18737004239523,2024-01-01 09:38:13.069306930,2024-01-01 10:28:13.069306930,3.46967445971982,2,13,43.015702567843775,Team house since red attorney likely campaign.,Cervantes Mews,Lopezstad,USA,CO,47,8,0,Clear,Evening,52,118,0
13,3,39.0483852708841,-83.87920354887541,2024-01-01 10:30:46.984698469,2024-01-01 11:06:46.984698469,4.632455177747448,29,38,56.69375946849264,Mention about season including authority.,Dyer Hollow,Pachecostad,USA,ME,48,10,0,Fog,Night,23,96,0
14,2,32.68351176436017,-114.58924108463796,2024-01-01 11:23:20.900090009,2024-01-01 11:44:20.900090009,3.9807006377481224,2,26,18.605051406841234,Prove forward admit to remain now beautiful.,Calvin Key,Robertbury,USA,NC,45,17,0,Clear,Morning,35,78,0
15,5,36.71661399082204,-86.80041001487484,2024-01-01 12:15:54.815481548,2024-01-01 12:57:54.815481548,4.881539139646399,44,33,35.06172369866549,Teach piece shoulder more source.,Jean Mission,West Anthony,USA,MD,25,3,0,Clear,Afternoon,54,46,1
16,3,32.70703719929368,-75.65646504875878,2024-01-01 13:08:28.730873087,2024-01-01 13:32:28.730873087,4.768516109044052,8,43,26.691134954220427,Collection other education.,Edward Stream,New Susan,USA,AZ,32,1,0,Rain,Evening,31,67,0
17,1,47.362691197771596,-104.45093350466965,2024-01-01 14:01:02.646264626,2024-01-01 14:43:02.646264626,1.1366469670985353,7,4,46.26109770361361,Street threat each character through coach.,Jose Haven,Jonesfurt,USA,ME,66,7,0,Clear,Morning,140,14,0
18,5,46.169416266389646,-86.04754829330545,2024-01-01 14:53:36.561656165,2024-01-01 15:02:36.561656165,1.7811547980196767,42,37,24.8130703519062,National lot maintain reduce.,Russell Cape,Port Tammy,USA,MS,53,19,0,Clear,Evening,145,68,0
19,2,30.683676459855672,-121.8635514939553,2024-01-01 15:46:10.477047704,2024-01-01 16:01:10.477047704,3.8139755248753997,27,27,31.462846717389432,Degree present page will.,Ray Terrace,Maxwellberg,USA,WI,65,8,0,Clear,Morning,17,93,0
20,2,30.385606662253238,-114.64249244831741,2024-01-01 16:38:44.392439243,2024-01-01 17:17:44.392439243,3.371765354199643,24,26,7.65153002684204,Room loss defense recent.,Robinson Views,Port Brianfort,USA,DE,68,8,0,Clear,Night,47,46,0
21,4,39.966791798923886,-84.25235145900095,2024-01-01 17:31:18.307830783,2024-01-01 18:06:18.307830783,4.413210888256721,35,43,40.58295446983285,Language part view let above pretty.,Brian Parkway,North William,USA,OH,96,14,0,Clear,Morning,100,115,0
22,3,35.23686181320781,-90.53992630941443,2024-01-01 18:23:52.223222322,2024-01-01 18:50:52.223222322,2.5869382028002406,37,44,58.89642371104632,Spend performance similar tell whatever even large.,Newman Gardens,North Amy,USA,MI,40,9,0,Snow,Morning,55,116,0
23,1,41.59380544674862,-77.44478014219285,2024-01-01 19:16:26.138613861,2024-01-01 19:54:26.138613861,1.9951414341756208,22,25,7.094620736824105,Usually million light big once administration fight.,Branch Station,Cortezstad,USA,NH,44,16,1,Fog,Morning,70,108,0
24,3,31.90410193089655,-67.26383392758308,2024-01-01 20:09:00.054005400,2024-01-01 20:40:00.054005400,2.2092053008681543,40,42,58.97632513679567,Even word spend finally ten they much.,Torres Rue,East Cassidy,USA,PW,30,3,0,Clear,Night,112,109,0
